,state,year,age_group,svy_type,mcv_est,mcv_se
200,gombe,2016-01-01,12_23m,MICS,0.3287537993920973,0.0414601695936472
201,imo,2016-01-01,12_23m,MICS,0.7418967587034814,0.0485947240227631
202,jigawa,2016-01-01,12_23m,MICS,0.1044297832233741,0.0197966293933968
203,kaduna,2016-01-01,12_23m,MICS,0.4314006631418586,0.0615025702336225
204,kano,2016-01-01,12_23m,MICS,0.2414039591756145,0.023768917807022
205,katsina,2016-01-01,12_23m,MICS,0.2113255298956026,0.0362652122008347
206,kebbi,2016-01-01,12_23m,MICS,0.2545408678102926,0.0407031242839217
207,kogi,2016-01-01,12_23m,MICS,0.6059759843619101,0.068656968999792
208,kwara,2016-01-01,12_23m,MICS,0.6695075757575758,0.0666714571863884
209,lagos,2016-01-01,12_23m,MICS,0.8810341119193519,0.0369826056590514
210,nasarawa,2016-01-01,12_23m,MICS,0.4971673025783328,0.0541262152015881
211,niger,2016-01-01,12_23m,MICS,0.3119047619047619,0.048187096443339
212,ogun,2016-01-01,12_23m,MICS,0.5440712029859317,0.0629760529518894
213,ondo,2016-01-01,12_23m,MICS,0.7756923076923078,0.0501967891566376
214,osun,2016-01-01,12_23m,MICS,0.6031669865642993,0.0749993520861039
215,oyo,2016-01-01,12_23m,MICS,0.5990595611285267,0.0692418800563527
216,plateau,2016-01-01,12_23m,MICS,0.6425865447419987,0.06332687074037
217,rivers,2016-01-01,12_23m,MICS,0.6795820635611668,0.0728916602110048
218,sokoto,2016-01-01,12_23m,MICS,0.0983882394615657,0.0238914729232712
219,taraba,2016-01-01,12_23m,MICS,0.2918372918372918,0.0627364982110531
220,yobe,2016-01-01,12_23m,MICS,0.1471080305927342,0.0355080987671146
221,zamfara,2016-01-01,12_23m,MICS,0.168641425389755,0.0333979645881852
222,abia,2018-01-01,12_23m,DHS,0.7812076231087381,0.04859646086328388
223,adamawa,2018-01-01,12_23m,DHS,0.6499034642468667,0.03840678856051237
224,akwa ibom,2018-01-01,12_23m,DHS,0.6326512510554111,0.0437600841334071
225,anambra,2018-01-01,12_23m,DHS,0.800133705836676,0.02673129561779435
226,bauchi,2018-01-01,12_23m,DHS,0.3564995295306551,0.02857027924077659
227,bayelsa,2018-01-01,12_23m,DHS,0.7044818574227567,0.06248811605592349
228,benue,2018-01-01,12_23m,DHS,0.639876794809177,0.03422310219104013
229,borno,2018-01-01,12_23m,DHS,0.4606307144945244,0.03332698119525561
230,cross river,2018-01-01,12_23m,DHS,0.635451996032887,0.06426121975430509
231,delta,2018-01-01,12_23m,DHS,0.7169562067618798,0.039495394247014655
232,ebonyi,2018-01-01,12_23m,DHS,0.6410229595493712,0.03909896708350876
233,edo,2018-01-01,12_23m,DHS,0.7983110164461639,0.04537343191952363
234,ekiti,2018-01-01,12_23m,DHS,0.8537077007809633,0.04184848287999117
235,enugu,2018-01-01,12_23m,DHS,0.772546424995542,0.04422778972584261
236,abuja,2018-01-01,12_23m,DHS,0.7280061639967235,0.06725458211097253
237,gombe,2018-01-01,12_23m,DHS,0.2913002374370796,0.03971340876325028
238,imo,2018-01-01,12_23m,DHS,0.7089929585116356,0.041545756293863964
239,jigawa,2018-01-01,12_23m,DHS,0.5540724217471081,0.03152124243813505
240,kaduna,2018-01-01,12_23m,DHS,0.42481541879328977,0.02586074952448334
241,kano,2018-01-01,12_23m,DHS,0.5603281952578313,0.02381694584420534
242,katsina,2018-01-01,12_23m,DHS,0.3465326698319899,0.02395196440288391
243,kebbi,2018-01-01,12_23m,DHS,0.32809148393996934,0.032396024938854115
244,kogi,2018-01-01,12_23m,DHS,0.4486236356767394,0.05473675086782785
245,kwara,2018-01-01,12_23m,DHS,0.5049122774057215,0.048208310651513805
246,lagos,2018-01-01,12_23m,DHS,0.8872346993603311,0.017365587240173487
247,nasarawa,2018-01-01,12_23m,DHS,0.64758804883795,0.05086146715619763
248,niger,2018-01-01,12_23m,DHS,0.4030461644040723,0.0305025186360548
249,ogun,2018-01-01,12_23m,DHS,0.5187558859227672,0.04494251283934535
250,ondo,2018-01-01,12_23m,DHS,0.7079258354556138,0.051521068210663865
251,osun,2018-01-01,12_23m,DHS,0.7609031901533456,0.041548287021152416
252,oyo,2018-01-01,12_23m,DHS,0.6145671842342092,0.036077610113301545
253,plateau,2018-01-01,12_23m,DHS,0.6234252329813326,0.04675865294694104
254,rivers,2018-01-01,12_23m,DHS,0.7217958856640254,0.0339016346221723
255,sokoto,2018-01-01,12_23m,DHS,0.19376884789147106,0.02938675080768165
256,taraba,2018-01-01,12_23m,DHS,0.40947751351788153,0.04198722236409309
257,yobe,2018-01-01,12_23m,DHS,0.45531110533586805,0.033268682125101055
258,zamfara,2018-01-01,12_23m,DHS,0.12508788912015262,0.022175327733197425
259,abia,2021-01-01,12_23m,MICS,0.751388,0.049554
260,adamawa,2021-01-01,12_23m,MICS,0.590099,0.038712
261,akwa ibom,2021-01-01,12_23m,MICS,0.708981,0.043192
262,anambra,2021-01-01,12_23m,MICS,0.668706,0.110852
263,bauchi,2021-01-01,12_23m,MICS,0.282169,0.035652
264,bayelsa,2021-01-01,12_23m,MICS,0.639224,0.046715
265,benue,2021-01-01,12_23m,MICS,0.666809,0.039695
266,borno,2021-01-01,12_23m,MICS,0.367271,0.041391
267,cross river,2021-01-01,12_23m,MICS,0.790067,0.05793
268,delta,2021-01-01,12_23m,MICS,0.731587,0.053669
269,ebonyi,2021-01-01,12_23m,MICS,0.913519,0.0809
270,edo,2021-01-01,12_23m,MICS,0.801613,0.052173
271,ekiti,2021-01-01,12_23m,MICS,0.910689,0.039443
272,enugu,2021-01-01,12_23m,MICS,0.801104,0.068349
273,abuja,2021-01-01,12_23m,MICS,0.876886,0.03714
274,gombe,2021-01-01,12_23m,MICS,0.37663,0.038314
275,imo,2021-01-01,12_23m,MICS,0.736263,0.100718
276,jigawa,2021-01-01,12_23m,MICS,0.537612,0.035277
277,kaduna,2021-01-01,12_23m,MICS,0.558328,0.042387
278,kano,2021-01-01,12_23m,MICS,0.402501,0.037066
279,katsina,2021-01-01,12_23m,MICS,0.41825,0.0365
