,region,birth_year,age,avg,var
436,south east,2018,20,0.009215573506621909,3.842823856195661e-06
437,south east,2018,21,0.009028789195736905,4.140844734797219e-06
438,south east,2018,22,0.008909518291861497,4.412500367762644e-06
439,south east,2018,23,0.008850423566331353,4.679741036521682e-06
440,south east,2018,24,0.00883497808837383,4.827664076996396e-06
441,south east,2018,25,0.008835936809761724,4.748201221591483e-06
442,south east,2019,0,0.08676920959602309,2.8287122304537143e-05
443,south east,2019,1,0.0912662754817697,3.2091910895468925e-05
444,south east,2019,2,0.0956470091762264,3.0918314949432654e-05
445,south east,2019,3,0.10018897518503914,3.1721313395069664e-05
446,south east,2019,4,0.09895096701066043,2.9214719125578464e-05
447,south east,2019,5,0.08939931797102905,2.3397963339158596e-05
448,south east,2019,6,0.07581248003439933,1.9209776943010794e-05
449,south east,2019,7,0.06140673840141445,1.710082414929275e-05
450,south east,2019,8,0.04857653734610111,1.4788749183029134e-05
451,south east,2019,9,0.038184730607955346,1.2542678620392744e-05
452,south east,2019,10,0.0302010416605136,1.0155644582981014e-05
453,south east,2019,11,0.02427454432577003,8.020272166407444e-06
454,south east,2019,12,0.019897708689364073,6.299289454501146e-06
455,south east,2019,13,0.016713056920002335,5.1287400587584705e-06
456,south east,2019,14,0.014398527799007846,4.3606743413646236e-06
457,south east,2019,15,0.01271912387681789,3.880919487332773e-06
458,south east,2019,16,0.01149740764551575,3.5867916089280908e-06
459,south east,2019,17,0.010608566810605104,3.4939989745885856e-06
460,south east,2019,18,0.009981440278119253,3.5968978172057886e-06
461,south east,2019,19,0.009546491686887437,3.7965745992641833e-06
462,south east,2019,20,0.009257699654934599,4.0466713743673475e-06
463,south east,2019,21,0.009072012664025162,4.325937190255696e-06
464,south east,2019,22,0.008955782542769627,4.544631899371518e-06
465,south east,2019,23,0.008898386659060592,4.793459561752119e-06
466,south east,2019,24,0.008887990773579015,4.940354276550397e-06
467,south east,2019,25,0.008887977202409336,4.86024796801494e-06
468,south east,2020,0,0.08609793240991422,3.1312348055412644e-05
469,south east,2020,1,0.09255828689463572,3.7162252309135235e-05
470,south east,2020,2,0.09617599788801369,3.4808989794896085e-05
471,south east,2020,3,0.09786704406062716,3.383934158421317e-05
472,south east,2020,4,0.0964488486548506,3.098508159592884e-05
473,south east,2020,5,0.08876874585672062,2.608605091987251e-05
474,south east,2020,6,0.0762614313520812,2.2061558962965246e-05
475,south east,2020,7,0.062239407450965324,1.9645602889901104e-05
476,south east,2020,8,0.049384573356907706,1.695780989455302e-05
477,south east,2020,9,0.03881153645699935,1.406001886426998e-05
478,south east,2020,10,0.030652880062151142,1.1294624018257879e-05
479,south east,2020,11,0.02457499256961038,8.852307219143475e-06
480,south east,2020,12,0.02010417124398618,6.907648895241454e-06
481,south east,2020,13,0.01685865314667015,5.59726960660111e-06
482,south east,2020,14,0.014495073362581419,4.707762881097625e-06
483,south east,2020,15,0.012787285188617489,4.155321711064262e-06
484,south east,2020,16,0.011545978034760623,3.8260558269349255e-06
485,south east,2020,17,0.010647217173866474,3.7006126595723445e-06
486,south east,2020,18,0.010011307078039364,3.775460932589219e-06
487,south east,2020,19,0.009574040288275111,3.966285483511127e-06
488,south east,2020,20,0.009284729914712702,4.211033474271293e-06
489,south east,2020,21,0.009097431566022298,4.460221481360851e-06
490,south east,2020,22,0.008984283306251943,4.662780536391959e-06
491,south east,2020,23,0.008929058500614243,4.876433067561886e-06
492,south east,2020,24,0.008919020887144101,5.0229014734644345e-06
493,south east,2020,25,0.008920073294980384,4.937385629425638e-06
494,south east,2021,0,0.08608654343212874,3.326691823496149e-05
495,south east,2021,1,0.09366653403554204,4.084503346993931e-05
496,south east,2021,2,0.09593962805080293,3.705515844243115e-05
497,south east,2021,3,0.096638372760562,3.551525718307343e-05
498,south east,2021,4,0.09553504523332207,3.2744777715762873e-05
499,south east,2021,5,0.08851390229141316,2.7968173442460888e-05
500,south east,2021,6,0.07641132579372201,2.3906241975065616e-05
501,south east,2021,7,0.06254929859460713,2.127153849649633e-05
502,south east,2021,8,0.04967454312098626,1.81984995017725e-05
503,south east,2021,9,0.03904371363672364,1.490663945615324e-05
504,south east,2021,10,0.03081397468763198,1.1853810822384323e-05
505,south east,2021,11,0.024682293876037688,9.26965946332212e-06
506,south east,2021,12,0.02017833935555919,7.188625040967925e-06
507,south east,2021,13,0.016907793882838355,5.826576291804176e-06
508,south east,2021,14,0.01452642188616615,4.868569306756552e-06
509,south east,2021,15,0.012810475639594069,4.283826035314561e-06
510,south east,2021,16,0.011563387911480424,3.936803799897982e-06
511,south east,2021,17,0.010659702556007334,3.7842299413514575e-06
512,south east,2021,18,0.010021416532851789,3.846334699153407e-06
513,south east,2021,19,0.00958403840358274,4.040443927159668e-06
514,south east,2021,20,0.009294040461767695,4.286543691014038e-06
515,south east,2021,21,0.009105111273170227,4.5179928509237994e-06
516,south east,2021,22,0.008993404074073277,4.7151631542733224e-06
517,south east,2021,23,0.008940920932824465,4.930825973439492e-06
518,south east,2021,24,0.00892877792606959,5.054604048685017e-06
519,south east,2021,25,0.0089309936505357,4.96734384076078e-06
520,south east,2022,0,0.08625183411251884,3.313641873582358e-05
521,south east,2022,1,0.09344634456683562,4.030648289929484e-05
522,south east,2022,2,0.09580559264418773,3.6742317680169966e-05
