,state,time,avg,var
178,abuja,2009-11-01,2648.989430198449,24860.576506087215
179,abuja,2009-12-01,2550.949684312178,13239.189866516455
180,abuja,2010-01-01,2761.618862001988,26458.265707371407
181,abuja,2010-02-01,3382.9932592987457,36087.11948025199
182,abuja,2010-03-01,3914.118961375732,42901.55347654603
183,abuja,2010-04-01,3831.256151129204,40651.41922085499
184,abuja,2010-05-01,3666.379422724226,38641.218522273935
185,abuja,2010-06-01,3421.3340198497685,35322.51853303337
186,abuja,2010-07-01,3378.433854395054,35155.51259997014
187,abuja,2010-08-01,3551.8561112336592,38036.809766244885
188,abuja,2010-09-01,3390.3713820734256,34870.8226628834
189,abuja,2010-10-01,3181.3902078138162,32703.902304276744
190,abuja,2010-11-01,2590.3686624173197,23925.441797169682
191,abuja,2010-12-01,2438.671542295635,12233.444246535582
192,abuja,2011-01-01,2634.996105806382,24561.148856986518
193,abuja,2011-02-01,3209.6969667526737,32741.826526347733
194,abuja,2011-03-01,3779.8831291868973,40229.66993401439
195,abuja,2011-04-01,3887.123386304494,40726.35214252032
196,abuja,2011-05-01,3724.57755899726,38382.80164250195
197,abuja,2011-06-01,3278.8801085557584,32449.26506875401
198,abuja,2011-07-01,3167.499066137705,31622.49875601933
199,abuja,2011-08-01,3312.919197020111,34133.89426290464
200,abuja,2011-09-01,3207.4141180096544,31433.68920810436
201,abuja,2011-10-01,3076.0333795486576,31338.666294556104
202,abuja,2011-11-01,2536.797634240224,23138.762165874574
203,abuja,2011-12-01,2364.729790100267,11771.647116797554
204,abuja,2012-01-01,2588.4054513398405,23787.488202996446
205,abuja,2012-02-01,3113.0303067006294,31504.96174159441
206,abuja,2012-03-01,3725.1997292295937,39884.51275512371
207,abuja,2012-04-01,3957.148347892539,42083.74597385008
208,abuja,2012-05-01,3757.0346214730125,38944.0677411025
209,abuja,2012-06-01,3242.201672451858,32599.751453474142
210,abuja,2012-07-01,3019.944782376366,29141.18793590918
211,abuja,2012-08-01,3130.818721069899,31043.784061182843
